date,"('ICLN', 'ICLN')","('XLE', 'XLE')","('VIX', '^VIX')","('Brent', 'BZ=F')","('SP500', '^GSPC')",dgs10,carbon_eua,"('ICLN', 'ICLN')_ret","('XLE', 'XLE')_ret","('Brent', 'BZ=F')_ret",carbon_eua_ret,"('SP500', '^GSPC')_ret",dgs10_diff,carbon_shock_resid,carbon_shock
2018-02-02,8.443425178527832,52.43136978149414,17.309999465942383,68.58000183105469,2762.1298828125,2.84,9.53,-0.0223056852603161,-0.0426860199966985,-0.0072643060504526,-0.0330267375178867,-0.0214366805166988,0.06,-0.03786866615087399,0
2018-02-05,8.180418014526367,50.23167419433594,37.31999969482422,67.62000274658203,2648.93994140625,2.77,9.63,-0.0316448017928866,-0.0428592843811751,-0.0140971358366836,0.0104385081439236,-0.0418425409383814,-0.0699999999999998,0.007698830757003274,0
2018-02-06,8.252971649169922,50.62963485717773,29.979999542236328,66.86000061035156,2695.139892578125,2.79,9.36,0.0088300840602337,0.0078912861977651,-0.0113029477768812,-0.0284379353205336,0.017290573348937,0.02,-0.02946615593198595,0
2018-02-07,8.207625389099121,49.78303527832031,27.729999542236328,65.51000213623047,2681.659912109375,2.84,9.56,-0.0055096877323137,-0.0168628050384137,-0.0203980547677408,0.0211424365738093,-0.0050141382237526,0.0499999999999998,0.021571083381667067,0
2018-02-08,7.989964962005615,48.27798080444336,33.459999084472656,64.80999755859375,2581.0,2.85,9.69,-0.0268772731195188,-0.0306986961861056,-0.0107429605835967,0.0135066988393648,-0.0382590522458017,0.0100000000000002,0.01574972983522321,0
2018-02-09,8.026240348815918,48.24179458618164,29.059999465942383,62.790000915527344,2619.550048828125,2.83,9.79,0.0045298431352036,-0.0007498198127934,-0.0316640350626142,0.0102670306397441,0.0148256451995243,-0.02,0.00504623184169788,0
2018-02-12,8.171347618103027,49.0305061340332,25.61000061035156,62.59000015258789,2656.0,2.86,10.05,0.0179176247329269,0.016216925622604,-0.0031903163322948,0.0262111779626659,0.0138186656781862,0.0299999999999998,0.02616876388195427,0
2018-02-13,8.280181884765625,48.82789993286133,24.96999931335449,62.720001220703125,2662.93994140625,2.83,10.52,0.0132310925091743,-0.0041408091304666,0.0020748721303877,0.0457055728044789,0.0026095219802775,-0.0299999999999998,0.04172876072571255,1
2018-02-14,8.389009475708008,49.53702545166016,19.26000022888184,64.36000061035156,2698.6298828125,2.91,10.22,0.0130575184881197,0.0144185094675698,0.0258119361026881,-0.0289316225340052,0.013313439808897,0.08,-0.028920016944985368,0
2018-02-15,8.570392608642578,49.41400909423828,19.1299991607666,64.33000183105469,2731.199951171875,2.9,10.16,0.0213910901341596,-0.0024864099978893,-0.000466217721208,-0.0058881426252225,0.0119968617767752,-0.0100000000000002,-0.010174089483303173,0
2018-02-16,8.606672286987305,49.291011810302734,19.459999084472656,64.83999633789062,2732.219970703125,2.87,10.13,0.0042242062322969,-0.0024922206889053,0.0078965265019305,-0.0029571238897437,0.0003733996499216,-0.0299999999999998,-0.0024312071494606035,0
2018-02-20,8.570392608642578,49.02325820922852,20.600000381469727,65.25,2716.260009765625,2.88,10.34,-0.004224206232297,-0.0054469053783181,0.006303405814499,0.0205185508196909,-0.0058585171068373,0.0099999999999997,0.02034611441724388,0
2018-02-21,8.615738868713379,48.19838333129883,20.020000457763672,65.41999816894531,2701.330078125,2.94,10.18,0.0052770881408379,-0.0169693631780386,0.0026019479182159,-0.0155948579579064,-0.0055116644833109,0.06,-0.011333022398311694,0
2018-02-22,8.633877754211426,48.72660446166992,18.71999931335449,66.38999938964844,2703.9599609375,2.92,10.34,0.0021031067043795,0.010899694122735,0.0147184394166229,0.0155948579579064,0.0009730774855778,-0.02,0.010270397304133221,0
2018-02-23,8.579463958740234,49.78303527832031,16.489999771118164,67.30999755859375,2747.300048828125,2.88,10.43,-0.0063223025056494,0.0214490951596081,0.0137623442139013,0.0086663999323979,0.015901278245121,-0.04,0.008553258190532615,0
2018-02-26,8.68829345703125,50.079708099365234,15.800000190734863,67.5,2779.60009765625,2.86,10.25,0.0126051040268589,0.0059416291560912,0.0028188201269408,-0.0174085634282638,0.0116884386206273,-0.02,-0.02022183236118189,0
2018-02-27,8.561325073242188,49.4284782409668,18.59000015258789,66.62999725341797,2744.280029296875,2.9,10.77,-0.014721563454152,-0.0130891573857856,-0.0129727125254414,0.04948678558388,-0.0127883114414675,0.04,0.049266147929651366,1
2018-02-28,8.488771438598633,48.29243850708008,19.850000381469727,65.77999877929688,2713.830078125,2.87,10.73,-0.0085106934762268,-0.0232517449478377,-0.0128390631494916,-0.0037209345256899,-0.011157806083656,-0.0299999999999998,-0.003926755670546647,0
2018-03-01,8.434356689453125,48.22008514404297,22.46999931335449,65.70999908447266,2677.669921875,2.81,10.62,-0.0064308366944294,-0.0014993572617225,-0.001064715226621,-0.0103045408288144,-0.0134139658548764,-0.06,-0.013806398631307264,0
2018-03-02,8.488771438598633,48.44439697265625,19.59000015258789,64.37000274658203,2691.25,2.86,10.77,0.0064308366944295,0.0046410475973875,-0.0206033782437403,0.0140254753545044,0.0050587854851985,0.0499999999999998,0.013943018203599727,0
