date,realized_vol,lstm_forecast,garch_forecast
2023-12-21,1.2581410930523198,1.4084051,1.356096214639988
2023-12-22,1.242751504574591,1.3238738,1.3068749164063596
2023-12-26,1.244534978170522,1.2795104,1.2587147709574464
2023-12-27,1.1158196309954276,1.2688079,1.2390299331125103
2023-12-28,1.2584653506484036,1.1886939,1.200125195288658
2023-12-29,0.869892574296521,1.2479222,1.2494269789969277
2024-01-02,0.9098592069261033,1.0333036,1.2039647665006048
2024-01-03,1.005390829012291,0.9572722,1.2055780489764507
2024-01-04,1.119344993563432,0.99639004,1.2636747869959035
2024-01-05,1.0775964931439186,1.1014999,1.3322044404659132
2024-01-08,1.1311262240920368,1.1293992,1.2792882459295407
2024-01-09,1.2111437601653838,1.1724089,1.2811364748332026
2024-01-10,1.1524045773542566,1.2398384,1.3283783870752042
2024-01-11,1.1770899785539435,1.2281821,1.3114362417722063
2024-01-12,1.1985749453946066,1.2310909,1.2621746445687272
2024-01-16,1.3947586737191213,1.2427701,1.2619730365169668
2024-01-17,1.3019051562406232,1.374295,1.4236635458009188
2024-01-18,1.0711540462535045,1.3746241,1.3884235201193618
2024-01-19,1.054004699658284,1.2154312,1.3324208879809845
2024-01-22,1.0768290521974062,1.1237072,1.283157996117375
2024-01-23,1.0718075400525735,1.1028202,1.2387095681166145
2024-01-24,1.1094677187505653,1.1003572,1.1937438995682406
2024-01-25,1.2677521850934548,1.1306621,1.230400224132865
2024-01-26,1.2770840244478032,1.2515615,1.3688988886128672
2024-01-29,1.2491998394903303,1.3152329,1.3328956515397494
2024-01-30,0.876078352589133,1.3189274,1.2804338833976256
2024-01-31,1.0933971125940587,1.0705711,1.271096186645318
2024-02-01,1.0856090747134661,1.0873512,1.3539553056937164
2024-02-02,1.0890156690478034,1.104731,1.2993214472918264
2024-02-05,1.1090682340301665,1.1222668,1.2491772118064717
2024-02-06,1.1081075933356352,1.1461631,1.2042130025734716
2024-02-07,1.0439672815667649,1.1570833,1.1641849298566007
2024-02-08,0.8385298182368132,1.1192718,1.1244690024329669
2024-02-09,0.953938041012355,0.96760076,1.1307350211501186
2024-02-12,1.0274198462350586,0.970612,1.1917079758235236
2024-02-13,1.005639548391888,1.0302215,1.1972605019148823
2024-02-14,0.810613815620992,1.0512888,1.195160089235335
2024-02-15,1.1912409676132691,0.93558514,1.151862787678854
2024-02-16,1.1951934045720929,1.1224686,1.397777066405693
2024-02-20,1.2431790532087978,1.2211977,1.3403283413761853
2024-02-21,1.3532104503679394,1.2902197,1.3172832801598688
2024-02-22,1.3535507759511214,1.3825687,1.389003568164522
2024-02-23,1.3620958476665574,1.4152446,1.3330935238220178
2024-02-26,1.2229893448556324,1.4241526,1.296015534945268
