Date,Price,Open,High,Low,Vol.,Change %,Returns,Residuals,Shock_ModelBased,Shock_EventBased
2021-05-13,55.04,55.36,55.45,53.83,4.29K,-1.45%,-0.01450313339301701,-0.014870573280976815,0,0
2021-05-14,57.23,55.37,57.48,55.24,5.71K,3.98%,0.03978924418604657,0.035577240302750564,1,0
2021-05-17,56.97,57.02,57.37,56.0,6.41K,-0.45%,-0.004543071815481303,-0.0016533492123770328,0,0
2021-05-18,53.74,56.45,57.14,53.08,5.36K,-5.67%,-0.05669650693347372,-0.06025181827865023,1,0
2021-05-19,50.35,52.92,53.6,49.3,13.60K,-6.31%,-0.06308150353554154,-0.06285246025387135,1,0
2021-05-20,53.41,50.65,53.47,50.59,8.41K,6.08%,0.06077457795431962,0.05812476587506572,1,0
2021-05-21,52.43,52.75,54.34,51.74,5.66K,-1.83%,-0.0183486238532109,-0.011859790147844393,0,0
2021-05-24,53.41,52.2,53.51,51.4,2.56K,1.87%,0.01869158878504673,0.013698879348341506,0,0
2021-05-25,53.83,53.81,54.27,52.83,4.14K,0.79%,0.007863695937090576,0.004926050589966098,0,0
2021-05-26,54.22,54.13,55.23,53.2,4.37K,0.72%,0.007245030652052842,-0.0009584868936258224,0,0
2021-05-27,52.39,53.59,54.14,51.58,2.11K,-3.38%,-0.03375138325341198,-0.03069900945040873,1,0
2021-05-28,51.58,52.23,52.9,50.78,3.11K,-1.55%,-0.015460965833174356,-0.020314565853139174,0,0
2021-05-31,52.24,52.38,52.42,51.88,5.89K,1.28%,0.012795657231485125,0.01362603893681674,0,0
2021-06-01,52.97,52.77,53.7,52.32,1.19K,1.40%,0.013973966309341446,0.013871922621593306,0,0
2021-06-02,51.94,52.52,52.55,51.44,3.93K,-1.94%,-0.019444968850292677,-0.020224605318329578,0,0
2021-06-03,50.73,52.85,53.15,50.66,4.66K,-2.33%,-0.023296110897189082,-0.028526814782481043,1,0
2021-06-04,50.47,50.61,51.95,49.8,2.28K,-0.51%,-0.005125172481766138,-0.00789573164783096,0,0
2021-06-07,51.97,49.83,52.5,49.83,0.24K,2.97%,0.02972062611452353,0.029716282185019045,1,0
2021-06-08,52.58,52.33,53.1,52.07,4.05K,1.17%,0.011737540888974385,0.01263545308138081,0,0
2021-06-09,53.9,53.0,54.6,52.81,2.84K,2.51%,0.025104602510460206,0.021241721389797946,0,0
2021-06-10,54.15,53.62,54.33,53.05,1.67K,0.46%,0.004638218923933124,0.0016719304697259338,0,0
2021-06-11,53.07,53.95,54.2,52.8,2.34K,-1.99%,-0.019944598337950148,-0.02364087785752392,0,0
2021-06-14,53.29,53.43,54.36,52.94,1.42K,0.41%,0.0041454682494816986,0.0036338687401984023,0,0
2021-06-15,51.76,53.01,53.01,51.43,5.30K,-2.87%,-0.0287108275473823,-0.028771918092961812,1,0
2021-06-16,51.72,51.9,52.7,51.15,3.02K,-0.08%,-0.0007727975270478415,-0.001924489185785229,0,0
2021-06-17,51.28,51.33,51.75,50.76,1.93K,-0.85%,-0.008507347254447017,-0.007995299664059246,0,0
2021-06-18,52.26,51.7,52.41,51.61,1.58K,1.91%,0.019110764430577243,0.015541779651515342,0,0
2021-06-21,52.78,52.16,53.31,51.99,3.48K,1.00%,0.00995024875621886,0.010184241227606979,0,0
2021-06-22,53.76,53.23,53.81,53.16,4.31K,1.86%,0.018567639257294433,0.014095195499754899,0,0
2021-06-23,55.03,53.99,55.2,53.88,6.79K,2.36%,0.023623511904761862,0.02222020143662272,0,0
2021-06-24,55.49,54.85,55.73,54.66,5.72K,0.84%,0.008359076867163306,0.005577246504965147,0,0
2021-06-25,55.48,55.67,56.16,55.3,8.06K,-0.02%,-0.00018021265092815764,-0.00150211154836801,0,0
2021-06-28,55.9,55.89,56.31,55.05,6.24K,0.76%,0.007570295602018717,0.005940569436194238,0,0
2021-06-29,56.04,55.75,56.57,55.61,2.37K,0.25%,0.002504472271914082,0.0020743566746335824,0,0
