Date,Close,High,Low,Open,Volume
18/03/19,9.243504524,9.243504524,9.169035276,9.196961022,73400
19/03/19,9.196962357,9.271431616,9.196962357,9.224888107,144000
20/03/19,9.262122154,9.280739912,9.159727152,9.206270657,330100
21/03/19,9.150419235,9.206271626,9.122493484,9.196962746,112500
22/03/19,8.973554611,9.131802009,8.945627973,9.131802009,116500
25/03/19,8.954936028,8.982861775,8.880466775,8.954936028,93100
26/03/19,9.020097733,9.029406612,8.964246229,9.029406612,298800
27/03/19,8.936321259,9.020098521,8.917703497,8.973555893,356300
28/03/19,9.048023224,9.048023224,8.97355397,9.001479718,63500
29/03/19,9.08525753,9.113183277,9.057330895,9.057330895,71300
01/04/19,9.169034958,9.169034958,9.122491457,9.131800335,90800
02/04/19,9.206271172,9.206271172,9.159727663,9.206271172,201900
03/04/19,9.215577126,9.290046368,9.215577126,9.23419488,216300
04/04/19,9.290046692,9.299355569,9.224886325,9.224886325,102500
05/04/19,9.401752472,9.401752472,9.299356584,9.308665462,89200
08/04/19,9.392443657,9.401752536,9.383134778,9.401752536,109200
09/04/19,9.327284813,9.411062071,9.317975933,9.411062071,138100
10/04/19,9.438986778,9.438986778,9.345899772,9.345899772,107100
11/04/19,9.345900536,9.401752922,9.327283665,9.401752922,133900
12/04/19,9.327284813,9.355210566,9.308667053,9.355210566,87900
15/04/19,9.392443657,9.392443657,9.336591273,9.383134778,195500
16/04/19,9.383135796,9.401753555,9.383135796,9.401753555,85000
17/04/19,9.429678917,9.438987796,9.364518538,9.438987796,116300
18/04/19,9.401752472,9.420369341,9.373825836,9.411060463,62700
22/04/19,9.401752472,9.411060463,9.364517846,9.401752472,122200
23/04/19,9.4855299,9.4855299,9.392443776,9.401752655,199300
24/04/19,9.438986778,9.466912525,9.4296779,9.466912525,169700
25/04/19,9.401752472,9.411060463,9.355208967,9.401752472,57900
26/04/19,9.420370102,9.43898786,9.373826593,9.411061223,82700
29/04/19,9.420370102,9.466913611,9.411061223,9.466913611,131600
30/04/19,9.457604408,9.466913287,9.40175291,9.466913287,623600
01/05/19,9.420370102,9.560000628,9.420370102,9.494839361,323000
02/05/19,9.373826027,9.429678411,9.31797453,9.420369533,83100
03/05/19,9.513457298,9.513457298,9.429679159,9.429679159,147400
06/05/19,9.364517212,9.373825202,9.308664832,9.31797371,214600
07/05/19,9.420370102,9.448295852,9.364518602,9.383135473,155100
08/05/19,9.383135796,9.476222816,9.383135796,9.438988185,126900
09/05/19,9.308665276,9.327283032,9.196961399,9.290047519,132000
10/05/19,9.383135796,9.383135796,9.252814145,9.299357655,231200
13/05/19,9.122493744,9.21557988,9.057332472,9.141110616,163900
14/05/19,9.224888802,9.243506562,9.169037297,9.178345289,110500
15/05/19,9.243504524,9.299356016,9.131800652,9.187652144,324300
16/05/19,9.317975044,9.383135423,9.290048407,9.290048407,79600
17/05/19,9.196962357,9.271431616,9.187653477,9.262122736,77200
20/05/19,9.169034958,9.178342948,9.085256835,9.178342948,79000
21/05/19,9.290046692,9.345899069,9.215577447,9.215577447,125700
22/05/19,9.345900536,9.373826285,9.317974786,9.327283665,187000
23/05/19,9.169034958,9.271429949,9.122491457,9.252812193,119200
24/05/19,9.215577126,9.280738378,9.215577126,9.23419488,43800
28/05/19,9.345900536,9.345900536,9.271431279,9.299357028,71000
29/05/19,9.271430969,9.271430969,9.206270594,9.271430969,60700
30/05/19,9.345900536,9.364518294,9.299357028,9.299357028,145700
31/05/19,9.299357414,9.327284052,9.234197034,9.262122785,517600
03/06/19,9.448296547,9.466914307,9.345901531,9.345901531,339100
04/06/19,9.559999466,9.559999466,9.46691246,9.504147085,354000
05/06/19,9.541381836,9.559999592,9.485529454,9.494838332,193500
06/06/19,9.52276516,9.560000677,9.48553053,9.541382918,103900
07/06/19,9.690320969,9.718246717,9.587925964,9.634469471,96600
10/06/19,9.690320969,9.727555596,9.643777462,9.708938726,130400
11/06/19,9.727554321,9.764788944,9.690319698,9.764788944,151600
12/06/19,9.671705246,9.72755675,9.634470614,9.71824787,273700
13/06/19,9.774098396,9.774098396,9.699629146,9.718246015,157200
14/06/19,9.699629784,9.755481281,9.653086277,9.718246654,365700
17/06/19,9.650859833,9.6789962,9.622723466,9.6789962,309800
18/06/19,9.819680214,9.847816582,9.735270214,9.735270214,394200
19/06/19,9.847815514,9.866573687,9.763405523,9.838436427,204600
20/06/19,9.988498688,9.997877775,9.913467781,9.969741408,204000
21/06/19,9.950982094,9.96036118,9.913466645,9.950982094,252500
24/06/19,9.950982094,9.997876629,9.941603902,9.988497543,213000
25/06/19,9.847815514,9.969740956,9.847815514,9.969740956,365600
26/06/19,9.866574287,9.941605196,9.847816113,9.941605196,275500
27/06/19,9.950982094,9.950982094,9.82905666,9.847814832,990900
28/06/19,9.979119301,9.997876578,9.941603852,9.950982043,238300
01/07/19,10.05414963,10.12918052,9.99787601,10.12918052,319500
02/07/19,10.08228588,10.09166497,10.01663407,10.05414952,284500
03/07/19,10.17607689,10.20421326,10.12918235,10.14793963,706500
05/07/19,10.17607689,10.17607689,10.03539327,10.10104598,355600
08/07/19,10.16669846,10.18545574,10.11980391,10.17607754,321000
09/07/19,10.16669846,10.16669846,10.09166754,10.11980391,134200
